Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2020,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
"Insulation workers, floor, ceiling, and wall    ",47-2131,34,34.5,0.6,1.6,3.2,"41,690",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Insulation workers, mechanical    ",47-2132,27.3,28.6,1.2,4.5,2.7,"50,030",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Insurance appraisers, auto damage    ",13-1032,15.9,15.3,-0.6,-4,1.1,"65,550",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Insurance claims and policy processing clerks    ,43-9041,293.9,287.3,-6.6,-2.2,25.5,"42,050",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Insurance sales agents    ,41-3021,501.3,528.8,27.5,5.5,45.9,"52,180",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Insurance underwriters    ,13-2053,114.7,107.6,-7.1,-6.2,7.3,"71,790",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Interior designers    ,27-1025,77.9,74.1,-3.8,-4.9,6.2,"57,060",Bachelor's degree,3,None,4,None,6
Interpreters and translators    ,27-3091,77.4,92.9,15.5,20,8.8,"52,330",Bachelor's degree,3,None,4,None,6
"Interviewers, except eligibility and loan    ",43-4111,201.9,207,5.1,2.5,23.9,"36,170",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Janitors and cleaners, except maids and housekeeping cleaners    ",37-2011,"2,374.20","2,479.80",105.6,4.4,305.6,"29,080",No formal educational credential,8,None,4,Short-term on-the-job training,5
Jewelers and precious stone and metal workers    ,51-9071,35.1,31.6,-3.5,-10,3.6,"41,900",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Judges, magistrate judges, and magistrates    ",23-1023,29.9,30.9,1,3.4,1.4,"141,080",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Judicial law clerks    ,23-1012,17.3,17.9,0.6,3.4,0.8,"57,510",Doctoral or professional degree,1,None,4,None,6
"Kindergarten teachers, except special education    ",25-2012,127.7,132.4,4.7,3.7,12.2,"57,860",Bachelor's degree,3,None,4,None,6
Labor relations specialists    ,13-1075,78.9,73.5,-5.4,-6.8,6.1,"73,240",Bachelor's degree,3,Less than 5 years,2,None,6
"Laborers and freight, stock, and material movers, hand    ",53-7062,"2,986.00","3,111.70",125.7,4.2,380.6,"31,120",No formal educational credential,8,None,4,Short-term on-the-job training,5
Landscape architects    ,17-1012,24.5,23.9,-0.6,-2.4,1.5,"70,630",Bachelor's degree,3,None,4,Internship/residency,1
Landscaping and groundskeeping workers    ,37-3011,"1,188.00","1,307.90",119.9,10.1,158.9,"31,730",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    ",51-4034,28.2,25.3,-2.9,-10.1,2,"41,380",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Laundry and dry-cleaning workers    ,51-6011,215.2,215.6,0.5,0.2,25.6,"25,470",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Law teachers, postsecondary    ",25-1112,21.3,22.8,1.5,6.9,1.8,"116,430",Doctoral or professional degree,1,Less than 5 years,2,None,6
Lawyers    ,23-1011,813.9,846.3,32.3,4,39.9,"126,930",Doctoral or professional degree,1,None,4,None,6
"Layout workers, metal and plastic    ",51-4192,8.5,7.6,-0.9,-10.2,0.6,"52,300",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Legal secretaries and administrative assistants    ,43-6012,171.8,133.8,-38,-22.1,11.8,"48,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Legal support workers, all other    ",23-2099,50.4,49.8,-0.6,-1.2,3.9,"59,540",Associate's degree,4,None,4,None,6
Legislators    ,11-1031,53.7,57,3.3,6.2,3.9,"33,200",Bachelor's degree,3,Less than 5 years,2,None,6
Librarians and media collections specialists,25-4022,146.5,153.8,7.3,5,13.8,"60,820",Bachelor's degree,3,None,4,None,6
"Library assistants, clerical    ",43-4121,90.5,87,-3.5,-3.8,12.2,"28,730",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Library science teachers, postsecondary    ",25-1082,5.4,5.5,0.2,3,0.4,"71,580",Doctoral or professional degree,1,None,4,None,6
Library technicians    ,25-4031,94.1,90.5,-3.6,-3.9,12.7,"37,010",Postsecondary nondegree award,5,None,4,None,6
Licensed practical and licensed vocational nurses    ,29-2061,721.7,787.4,65.7,9.1,58.4,"48,820",Postsecondary nondegree award,5,None,4,None,6
"Life scientists, all other    ",19-1099,7,7.4,0.3,4.6,0.6,"82,000",Bachelor's degree,3,None,4,None,6
"Life, physical, and social science technicians, all other    ",19-4099,71,74.3,3.4,4.7,8.3,"52,460",Associate's degree,4,None,4,None,6
"Lifeguards, ski patrol, and other recreational protective service workers    ",33-9092,149.8,163.3,13.5,9,39.3,"25,020",No formal educational credential,8,None,4,Short-term on-the-job training,5
Light truck drivers    ,53-3033,"1,018.60","1,079.10",60.5,5.9,111.8,"37,050",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Lighting technicians and media and communication equipment workers, all other",27-4098,26.6,27.9,1.3,4.9,2.8,"70,980",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Loading and moving machine operators, underground mining",47-5044,4.5,3.9,-0.6,-13.4,0.4,"56,640",No formal educational credential,8,None,4,Short-term on-the-job training,5
Loan interviewers and clerks    ,43-4131,212.6,230.3,17.7,8.3,21.2,"41,370",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Loan officers    ,13-2072,316.9,327,10.1,3.2,24.2,"63,960",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Locker room, coatroom, and dressing room attendants    ",39-3093,16.8,18.1,1.4,8.1,3.8,"26,700",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Locksmiths and safe repairers    ,49-9094,21.1,19.5,-1.6,-7.5,1.7,"43,690",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Locomotive engineers    ,53-4011,27.4,26.5,-1,-3.5,1.9,"71,870",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Lodging managers    ,11-9081,57.2,50.6,-6.7,-11.7,4.5,"56,670",High school diploma or equivalent,7,Less than 5 years,2,None,6
Log graders and scalers    ,45-4023,4.8,4.3,-0.6,-11.4,0.6,"36,900",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Logging equipment operators    ,45-4022,39.2,34.3,-4.9,-12.5,4.7,"43,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Logging workers, all other    ",45-4029,5.7,4.9,-0.8,-14.5,0.7,"41,410",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Logisticians    ,13-1081,188.2,196.4,8.2,4.4,16.8,"76,270",Bachelor's degree,3,None,4,None,6
Machine feeders and offbearers    ,53-7063,62.9,63,0.1,0.2,7,"33,000",No formal educational credential,8,None,4,Short-term on-the-job training,5
Machinists    ,51-4041,388.1,404.4,16.3,4.2,38,"45,840",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Magnetic resonance imaging technologists    ,29-2035,38.7,41.4,2.7,7,2.2,"74,690",Associate's degree,4,Less than 5 years,2,None,6
Maids and housekeeping cleaners    ,37-2012,"1,474.90","1,470.70",-4.1,-0.3,181.5,"26,220",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Mail clerks and mail machine operators, except postal service    ",43-9051,88.4,82.5,-6,-6.7,8.3,"31,920",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Maintenance and repair workers, general    ",49-9071,"1,516.40","1,579.40",63,4.2,139.4,"40,850",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Maintenance workers, machinery    ",49-9043,73.2,77.7,4.5,6.1,6.4,"50,100",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Makeup artists, theatrical and performance    ",39-5091,4.7,5.2,0.5,11,0.6,"106,920",Postsecondary nondegree award,5,None,4,None,6
Management analysts    ,13-1111,876.3,970.2,93.8,10.7,87.1,"87,660",Bachelor's degree,3,Less than 5 years,2,None,6
Manicurists and pedicurists    ,39-5092,155.3,185.2,29.9,19.2,20.4,"27,870",Postsecondary nondegree award,5,None,4,None,6
Manufactured building and mobile home installers    ,49-9095,2.9,2.2,-0.6,-22.3,0.1,"35,120",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Marine engineers and naval architects    ,17-2121,11.8,12,0.2,1.5,0.6,"95,440",Bachelor's degree,3,None,4,None,6
Market research analysts and marketing specialists    ,13-1161,738.1,868.4,130.3,17.7,84.2,"65,810",Bachelor's degree,3,None,4,None,6
Marketing managers    ,11-2021,286.3,305.4,19.1,6.7,24.6,"142,170",Bachelor's degree,3,5 years or more,1,None,6
Marriage and family therapists    ,21-1013,66.2,80.9,14.8,22.3,7.9,"51,340",Master's degree,2,None,4,Internship/residency,1
Massage therapists    ,31-9011,166.7,201.1,34.4,20.6,22,"43,620",Postsecondary nondegree award,5,None,4,None,6
"Material moving workers, all other    ",53-7199,29.8,30.3,0.5,1.5,3.3,"32,850",No formal educational credential,8,None,4,Short-term on-the-job training,5
Materials engineers    ,17-2131,27.5,27.9,0.4,1.5,1.5,"95,640",Bachelor's degree,3,None,4,None,6
Materials scientists    ,19-2032,7,7.2,0.2,3.4,0.6,"99,460",Bachelor's degree,3,None,4,None,6
"Mathematical science teachers, postsecondary    ",25-1022,60.1,60.8,0.8,1.3,4.6,"73,650",Doctoral or professional degree,1,None,4,None,6
Mathematicians    ,15-2021,2.9,3,0.1,3,0.2,"110,860",Master's degree,2,None,4,None,6
"Meat, poultry, and fish cutters and trimmers    ",51-3022,161.8,164.5,2.7,1.7,17.5,"30,190",No formal educational credential,8,None,4,Short-term on-the-job training,5
Mechanical door repairers    ,49-9011,23.4,24.3,0.8,3.6,1.9,"43,220",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Mechanical drafters    ,17-3013,57.5,52.7,-4.7,-8.3,4.3,"58,270",Associate's degree,4,None,4,None,6
Mechanical engineering technologists and technicians    ,17-3027,43.5,44.9,1.4,3.1,3.8,"58,230",Associate's degree,4,None,4,None,6
Mechanical engineers    ,17-2141,316.3,328.7,12.4,3.9,19.2,"90,160",Bachelor's degree,3,None,4,None,6
"Media and communication workers, all other    ",27-3099,35.2,38,2.8,8.1,3.6,"49,730",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Medical and health services managers    ,11-9111,422.3,555.5,133.2,31.5,47,"104,280",Bachelor's degree,3,Less than 5 years,2,None,6
Medical appliance technicians    ,51-9082,14.8,16.5,1.7,11.5,1.9,"41,750",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Medical assistants    ,31-9092,725.2,864.4,139.2,19.2,92.8,"35,850",Postsecondary nondegree award,5,None,4,None,6
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",29-2098,341.6,370.6,29,8.5,27.8,"44,090",Postsecondary nondegree award,5,None,4,None,6
Medical equipment preparers    ,31-9093,58.7,62.2,3.4,5.9,6.7,"38,800",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Medical equipment repairers    ,49-9062,53.9,56.7,2.8,5.1,5.4,"51,610",Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Medical scientists, except epidemiologists    ",19-1042,138.3,146.7,8.4,6.1,11.2,"91,510",Doctoral or professional degree,1,None,4,None,6
Medical secretaries and administrative assistants    ,43-6013,623.4,682.7,59.3,9.5,72.6,"37,350",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Medical transcriptionists    ,31-9094,58.5,57.2,-1.3,-2.2,6.9,"35,270",Postsecondary nondegree award,5,None,4,None,6
"Meeting, convention, and event planners    ",13-1121,138.6,149.5,10.8,7.8,15.2,"51,560",Bachelor's degree,3,None,4,None,6
Mental health and substance abuse social workers    ,21-1023,123.2,143.8,20.7,16.8,13.4,"48,720",Master's degree,2,None,4,Internship/residency,1
Merchandise displayers and window trimmers    ,27-1026,180.4,174.2,-6.2,-3.4,14.6,"30,810",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Metal workers and plastic workers, all other    ",51-4199,24.9,22.7,-2.1,-8.6,1.9,"35,520",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Metal-refining furnace operators and tenders    ,51-4051,17.1,17.1,0,0,1.4,"44,610",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Meter readers, utilities    ",43-5041,30.9,27.4,-3.6,-11.5,2.2,"41,940",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Microbiologists    ,19-1022,20.2,20.9,0.6,3.1,1.7,"84,400",Bachelor's degree,3,None,4,None,6
"Middle school teachers, except special and career/technical education    ",25-2022,627.1,649.6,22.5,3.6,44.6,"60,810",Bachelor's degree,3,None,4,None,6
"Milling and planing machine setters, operators, and tenders, metal and plastic    ",51-4035,19.2,15.6,-3.6,-18.6,1.2,"43,150",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Millwrights    ,49-9044,48.7,52.1,3.4,6.9,4.3,"57,260",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Mining and geological engineers, including mining safety engineers    ",17-2151,6.3,6.6,0.3,4.2,0.4,"93,800",Bachelor's degree,3,None,4,None,6
Miscellaneous assemblers and fabricators,51-2090,"1,389.10","1,211.50",-177.6,-12.8,113.2,"33,550",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Miscellaneous construction and related workers,47-4090,34.1,35.6,1.5,4.3,4,"39,660",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Miscellaneous entertainers and performers, sports and related workers",27-2090,33.3,34.6,1.4,4.2,3.6,N/A,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Miscellaneous first-line supervisors, protective service workers",33-1090,85.7,87,1.3,1.6,7.8,"52,650",High school diploma or equivalent,7,Less than 5 years,2,None,6
"Mixing and blending machine setters, operators, and tenders    ",51-9023,128,129.5,1.6,1.2,13.3,"38,690",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Mobile heavy equipment mechanics, except engines    ",49-3042,152.9,154,1.1,0.7,13.7,"55,350",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Model makers, metal and plastic    ",51-4061,4.4,4.1,-0.4,-8.2,0.3,"54,780",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Model makers, wood    ",51-7031,1.4,1.4,0,-0.2,0.1,"64,050",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Models    ,41-9012,2.7,2.7,0,0.5,0.5,"31,910",No formal educational credential,8,None,4,None,6
"Molders, shapers, and casters, except metal and plastic    ",51-9195,49.4,46.4,-3,-6.1,4.4,"35,440",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic    ",51-4072,173.4,156.7,-16.7,-9.6,12.6,"33,100",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Morticians, undertakers, and funeral arrangers    ",39-4031,26.6,26.1,-0.5,-2,2.7,"54,100",Associate's degree,4,None,4,Long-term on-the-job training,3
Motion picture projectionists    ,39-3021,4.7,4.1,-0.5,-11.2,0.9,"27,490",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Motor vehicle operators, all other    ",53-3099,61.7,63.6,1.9,3.1,9.9,"37,170",No formal educational credential,8,None,4,Short-term on-the-job training,5
Motorboat mechanics and service technicians    ,49-3051,25.7,25.9,0.2,0.8,2.5,"43,320",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Motorboat operators    ,53-5022,2.5,2.5,0,0.1,0.2,"55,910",Postsecondary nondegree award,5,Less than 5 years,2,None,6
Motorcycle mechanics    ,49-3052,17.4,18,0.6,3.5,1.7,"38,010",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
"Multiple machine tool setters, operators, and tenders, metal and plastic    ",51-4081,150.5,153.6,3.1,2.1,14,"37,510",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Museum technicians and conservators    ,25-4013,14.8,16.5,1.7,11.6,1.8,"45,710",Bachelor's degree,3,None,4,None,6
Music directors and composers    ,27-2041,58,59,1,1.7,6.3,"52,250",Bachelor's degree,3,Less than 5 years,2,None,6
Musical instrument repairers and tuners    ,49-9063,8.9,8.3,-0.6,-7.1,0.7,"36,810",High school diploma or equivalent,7,None,4,Apprenticeship,2
Musicians and singers    ,27-2042,175.6,177.2,1.6,0.9,19,N/A,No formal educational credential,8,None,4,Long-term on-the-job training,3
Natural sciences managers    ,11-9121,71.4,74.8,3.4,4.8,4.9,"137,940",Bachelor's degree,3,5 years or more,1,None,6
Network and computer systems administrators,15-1244,373.9,389.9,16,4.3,23.8,"84,810",Bachelor's degree,3,None,4,None,6
New accounts clerks    ,43-4141,44.3,37.8,-6.5,-14.7,3.4,"37,750",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"News analysts, reporters, and journalists",27-3023,52,46.2,-5.8,-11.2,4.3,"49,300",Bachelor's degree,3,None,4,None,6
Nuclear engineers    ,17-2161,16.4,14.3,-2.1,-12.6,0.7,"116,140",Bachelor's degree,3,None,4,None,6
Nuclear medicine technologists    ,29-2033,18.5,19.5,1,5.4,1,"79,590",Associate's degree,4,None,4,None,6
Nuclear power reactor operators    ,51-8011,5.3,3.4,-1.9,-35.7,0.2,"104,040",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Nuclear technicians    ,19-4051,6.7,5.4,-1.3,-18.9,0.5,"84,190",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Nurse anesthetists    ,29-1151,44.9,51,6.2,13.7,2.9,"183,580",Master's degree,2,None,4,None,6
Nurse midwives    ,29-1161,7.2,8.1,0.8,11.6,0.5,"111,130",Master's degree,2,None,4,None,6
Nurse practitioners    ,29-1171,211.3,322,110.7,52.4,24.2,"111,680",Master's degree,2,None,4,None,6
Nursing assistants,31-1131,"1,528.50","1,645.50",116.9,7.6,174,"30,850",Postsecondary nondegree award,5,None,4,None,6
"Nursing instructors and teachers, postsecondary    ",25-1072,72.9,85.7,12.8,17.6,7.2,"75,470",Doctoral or professional degree,1,Less than 5 years,2,None,6
Obstetricians and gynecologists,29-1218,20.3,20.1,-0.3,-1.4,0.5,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Occupational health and safety specialists,19-5011,100.5,104.3,3.8,3.8,5.5,"76,340",Bachelor's degree,3,None,4,None,6
Occupational health and safety technicians,19-5012,22.1,23.1,1,4.8,1.2,"53,340",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Occupational therapists    ,29-1122,143.3,166,22.7,15.9,10.3,"86,280",Master's degree,2,None,4,None,6
Occupational therapy aides    ,31-2012,8,9.5,1.6,19.9,1,"30,180",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Occupational therapy assistants    ,31-2011,47.1,63.5,16.3,34.6,6.9,"62,940",Associate's degree,4,None,4,None,6
"Office and administrative support workers, all other    ",43-9199,220.8,229.6,8.8,4,24.1,"35,890",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Office clerks, general    ",43-9061,"3,126.30","2,970.40",-155.9,-5,317.5,"35,330",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Office machine operators, except computer    ",43-9071,47.3,41.1,-6.2,-13.1,3.8,"34,730",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Operating engineers and other construction equipment operators    ,47-2073,418,434.9,16.9,4,43.9,"49,770",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Operations research analysts    ,15-2031,105.1,131.3,26.1,24.8,9.6,"86,200",Bachelor's degree,3,None,4,None,6
Ophthalmic laboratory technicians    ,51-9083,30.2,32.5,2.3,7.6,3.7,"34,440",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Ophthalmic medical technicians    ,29-2057,59.5,67.9,8.5,14.2,5.6,"37,940",Postsecondary nondegree award,5,None,4,None,6
"Opticians, dispensing    ",29-2081,73.8,76.8,3,4,5.7,"38,530",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Optometrists    ,29-1041,44.4,46.3,1.9,4.3,1.5,"118,050",Doctoral or professional degree,1,None,4,None,6
Oral and maxillofacial surgeons    ,29-1022,5.6,5.7,0.1,2.4,0.2,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Order clerks    ,43-4151,146,129.1,-16.8,-11.5,12.8,"35,590","Some college, no degree",6,None,4,Short-term on-the-job training,5
Orderlies,31-1132,50.6,53.1,2.5,5,5.6,"30,030",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Orthodontists    ,29-1023,7.2,7.3,0.2,2.4,0.2,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Orthotists and prosthetists    ,29-2091,10,11.7,1.7,16.9,0.9,"70,190",Master's degree,2,None,4,Internship/residency,1
Outdoor power equipment and other small engine mechanics    ,49-3053,35,36.3,1.3,3.8,3.5,"37,530",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Packaging and filling machine operators and tenders    ,51-9111,392.1,397.6,5.5,1.4,40.6,"32,640",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Packers and packagers, hand    ",53-7064,640.8,609.9,-30.9,-4.8,75.8,"28,050",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Painters, construction and maintenance    ",47-2141,379.5,380.3,0.9,0.2,32.3,"42,130",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Painting, coating, and decorating workers    ",51-9123,12.8,12.7,-0.1,-0.5,1.2,"34,780",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Paper goods machine setters, operators, and tenders    ",51-9196,100.4,94.6,-5.7,-5.7,9,"39,820",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Paperhangers    ,47-2142,5.6,5.5,0,-0.8,0.5,"43,560",No formal educational credential,8,None,4,Long-term on-the-job training,3
Paralegals and legal assistants    ,23-2011,337.8,373.1,35.3,10.5,37.6,"52,920",Associate's degree,4,None,4,None,6
Parking attendants    ,53-6021,149.8,160.6,10.9,7.2,22.8,"27,080",No formal educational credential,8,None,4,Short-term on-the-job training,5
Parking enforcement workers    ,33-3041,8.1,5.2,-2.9,-36.2,0.2,"42,070",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Parts salespersons    ,41-2022,261.7,267,5.3,2,29.1,"32,460",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Passenger attendants    ,53-6061,28,29.2,1.2,4.4,3.7,"28,770",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Passenger vehicle drivers, except bus drivers, transit and intercity",53-3058,853.3,947.8,94.4,11.1,104,"32,320",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Patternmakers, metal and plastic    ",51-4062,3.1,2.8,-0.3,-8.4,0.2,"48,160",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Patternmakers, wood    ",51-7032,0.7,0.6,0,-4.7,0.1,"65,120",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Paving, surfacing, and tamping equipment operators    ",47-2071,46.6,48.8,2.2,4.7,5.2,"41,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Payroll and timekeeping clerks    ,43-3051,149.8,143.1,-6.7,-4.5,13.7,"47,020",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Pediatricians, general",29-1221,32.5,32,-0.5,-1.6,0.8,"177,130",Doctoral or professional degree,1,None,4,Internship/residency,1
Personal financial advisors    ,13-2052,263,274.6,11.6,4.4,19.2,"89,330",Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,"1,189.20","1,167.50",-21.7,-1.8,74.5,"116,350",Bachelor's degree,3,Less than 5 years,2,None,6
Pest control workers    ,37-2021,87.6,95,7.5,8.5,12.1,"37,820",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Pesticide handlers, sprayers, and applicators, vegetation    ",37-3012,38.1,41.2,3.2,8.3,5,"36,630",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Petroleum engineers    ,17-2171,33.4,34.4,1.1,3.2,2.1,"137,330",Bachelor's degree,3,None,4,None,6
"Petroleum pump system operators, refinery operators, and gaugers    ",51-8093,41.3,41.1,-0.2,-0.5,3.8,"78,840",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Pharmacists    ,29-1051,321.7,311.2,-10.5,-3.3,11.2,"128,710",Doctoral or professional degree,1,None,4,None,6
Pharmacy aides    ,31-9095,37.9,32,-5.9,-15.7,3.2,"29,280",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Pharmacy technicians    ,29-2052,422.3,437.6,15.2,3.6,33.4,"35,100",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Philosophy and religion teachers, postsecondary    ",25-1126,30.9,32.9,2.1,6.7,2.6,"76,160",Doctoral or professional degree,1,None,4,None,6
Phlebotomists    ,31-9097,132.6,155.5,22.8,17.2,15.8,"36,320",Postsecondary nondegree award,5,None,4,None,6
Photographers    ,27-4021,133.5,128.7,-4.8,-3.6,10.9,"41,280",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Photographic process workers and processing machine operators    ,51-9151,12.3,9.9,-2.4,-19.4,1.3,"34,720",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Physical scientists, all other    ",19-2099,22.8,22.1,-0.7,-3,1.5,"107,210",Bachelor's degree,3,None,4,None,6
Physical therapist aides    ,31-2022,50.6,61.3,10.8,21.3,6.9,"28,450",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Physical therapist assistants    ,31-2021,98.7,130.9,32.2,32.6,15.1,"59,770",Associate's degree,4,None,4,None,6
Physical therapists    ,29-1123,258.2,305.2,47,18.2,15.2,"91,010",Doctoral or professional degree,1,None,4,None,6
Physician assistants    ,29-1071,125.5,164.8,39.3,31.3,11.4,"115,390",Master's degree,2,None,4,None,6
"Physicians, all other; and ophthalmologists, except pediatric",29-1228,429.5,447.9,18.5,4.3,13.6,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Physicists    ,19-2012,18.2,19.5,1.3,7.3,1.3,"129,850",Doctoral or professional degree,1,None,4,None,6
"Physics teachers, postsecondary    ",25-1054,17.1,17.8,0.8,4.4,1.4,"90,400",Doctoral or professional degree,1,None,4,None,6
Pile driver operators    ,47-2072,3.6,3.8,0.2,4.4,0.4,"63,370",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Pipelayers    ,47-2151,38.9,40.7,1.8,4.7,4,"40,480",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Plant and system operators, all other    ",51-8099,13.2,13.2,0,0,1.2,"58,960",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Plasterers and stucco masons    ,47-2161,27.7,28.8,1.1,4.1,2.3,"47,020",No formal educational credential,8,None,4,Long-term on-the-job training,3
"Plating machine setters, operators, and tenders, metal and plastic    ",51-4193,42.1,38.4,-3.7,-8.8,3,"34,850",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Plumbers, pipefitters, and steamfitters    ",47-2152,490.2,511.1,20.9,4.3,49.8,"56,330",High school diploma or equivalent,7,None,4,Apprenticeship,2
Podiatrists    ,29-1081,10.5,10.6,0,0.2,0.5,"134,300",Doctoral or professional degree,1,None,4,Internship/residency,1
